# This table combines: (1) a validated ML risk model (see model_card.md), (2) real engagement survey data covering 49.7% of employees (Step 13 -- do not generalize to the rest), (3) O*NET role mappings with confidence levels ranging from very_low to medium -- none are exact matches (see data_relationships.md Open Issue #1), and (4) SYNTHETIC skill-gap and recommendation data (Steps 15-18) that has NOT been validated against real employee skill records. Sections 3 and 4 are illustrative of MVP capability, not production-ready HR guidance.
EmployeeNumber,Department,JobRole,RiskScore,RiskLevel,EngagementScore,SatisfactionScore,WorkLifeBalanceScore,ONET_Title,ONET_Confidence,SkillGapCount,SkillGapSeverity,Top3Recommendations 
346,Research & Development,Research Scientist,0.1758,LOW,,,,Computer and Information Research Scientists,medium,1.0,LOW,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop)
347,Research & Development,Research Scientist,0.571,HIGH,,,,Computer and Information Research Scientists,medium,5.0,MEDIUM,Strategic Problem Solving & Root Cause Decision Analysis Seminar; Continuous Professional Learning & Rapid Skill Acquisition Frameworks; NoSQL Database Architecture with AWS DynamoDB: Modeling & Scalability
349,Sales,Sales Executive,0.1087,LOW,,,,Sales Managers,low,6.0,MEDIUM,Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Technical & Regulatory Documentation Analysis Workshop
350,Research & Development,Manufacturing Director,0.1,LOW,,,,Industrial Production Managers,low,1.0,LOW,AutoCAD Essentials: Mechanical/Architectural Drafting & Dimensioning Standards
351,Research & Development,Laboratory Technician,0.5002,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,0.0,LOW,None - No skill gaps identified
352,Research & Development,Research Director,0.0045,LOW,,,,Natural Sciences Managers,low,0.0,LOW,None - No skill gaps identified
353,Research & Development,Research Scientist,0.1631,LOW,,,,Computer and Information Research Scientists,medium,5.0,MEDIUM,Strategic Problem Solving & Root Cause Decision Analysis Seminar; Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Continuous Professional Learning & Rapid Skill Acquisition Frameworks
355,Research & Development,Laboratory Technician,0.8788,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,2.0,LOW,"Scientific Methodology, Evidence-Based Rigor & Laboratory Standards Training; Enterprise Microsoft 365 Productivity & Workflow Automation Bootcamp"
359,Research & Development,Laboratory Technician,0.5689,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,1.0,LOW,Google Workspace Collaboration: Document Co-Authoring & Cloud Governance
361,Sales,Sales Executive,0.0396,LOW,,,,Sales Managers,low,4.0,MEDIUM,"Technical & Regulatory Documentation Analysis Workshop; Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows; Bentley MicroStation CAD: 2D/3D Infrastructure Drafting & Asset Modeling"
362,Research & Development,Laboratory Technician,0.7639,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,2.0,LOW,"Strategic Problem Solving & Root Cause Decision Analysis Seminar; Scientific Methodology, Evidence-Based Rigor & Laboratory Standards Training"
363,Sales,Manager,0.751,HIGH,,,,"Managers, All Other",very_low,,N/A - Manager,N/A - Manager (use Department-level analysis)
364,Research & Development,Laboratory Technician,0.8055,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,3.0,LOW,Technical & Regulatory Documentation Analysis Workshop; Strategic Problem Solving & Root Cause Decision Analysis Seminar; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop)
366,Sales,Sales Executive,0.2809,LOW,,,,Sales Managers,low,7.0,HIGH,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Technical & Regulatory Documentation Analysis Workshop; Operational Process Auditing & KPI Performance Monitoring Protocols
367,Research & Development,Healthcare Representative,0.2074,LOW,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,2.0,LOW,Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop)
369,Research & Development,Healthcare Representative,0.0319,LOW,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,6.0,MEDIUM,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Technical & Regulatory Documentation Analysis Workshop; Business & Technical Writing: Structuring Executive Summaries & Proposals
372,Research & Development,Healthcare Representative,0.153,LOW,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,1.0,LOW,"macOS for Enterprise: Advanced Terminal, Security & Productivity Tooling"
373,Research & Development,Laboratory Technician,0.039,LOW,,,,Medical and Clinical Laboratory Technicians,medium,1.0,LOW,Enterprise Microsoft 365 Productivity & Workflow Automation Bootcamp
374,Research & Development,Manager,0.0706,LOW,,,,"Managers, All Other",very_low,,N/A - Manager,N/A - Manager (use Department-level analysis)
376,Research & Development,Manager,0.589,HIGH,,,,"Managers, All Other",very_low,,N/A - Manager,N/A - Manager (use Department-level analysis)
377,Research & Development,Research Scientist,0.0288,LOW,,,,Computer and Information Research Scientists,medium,6.0,MEDIUM,Strategic Problem Solving & Root Cause Decision Analysis Seminar; Technical & Regulatory Documentation Analysis Workshop; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop)
378,Sales,Sales Executive,0.1665,LOW,,,,Sales Managers,low,2.0,LOW,"Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows"
379,Research & Development,Research Scientist,0.1961,LOW,,,,Computer and Information Research Scientists,medium,4.0,MEDIUM,Strategic Problem Solving & Root Cause Decision Analysis Seminar; Continuous Professional Learning & Rapid Skill Acquisition Frameworks; Cloud Data Warehousing & High-Performance SQL Analytics with Amazon Redshift
380,Research & Development,Research Director,0.0274,LOW,,,,Natural Sciences Managers,low,7.0,HIGH,"Scientific Methodology, Evidence-Based Rigor & Laboratory Standards Training; Technical & Regulatory Documentation Analysis Workshop; Operational Process Auditing & KPI Performance Monitoring Protocols"
381,Research & Development,Manager,0.2312,LOW,,,,"Managers, All Other",very_low,,N/A - Manager,N/A - Manager (use Department-level analysis)
382,Sales,Sales Executive,0.6847,HIGH,,,,Sales Managers,low,0.0,LOW,None - No skill gaps identified
384,Research & Development,Manufacturing Director,0.1211,LOW,,,,Industrial Production Managers,low,2.0,LOW,"Technical & Regulatory Documentation Analysis Workshop; Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows"
385,Research & Development,Research Director,0.0221,LOW,,,,Natural Sciences Managers,low,0.0,LOW,None - No skill gaps identified
386,Research & Development,Research Director,0.0215,LOW,,,,Natural Sciences Managers,low,2.0,LOW,Technical & Regulatory Documentation Analysis Workshop; Commercial Image Retouching & Asset Production with Adobe Photoshop
387,Sales,Sales Executive,0.12,LOW,,,,Sales Managers,low,0.0,LOW,None - No skill gaps identified
388,Sales,Sales Executive,0.348,LOW,,,,Sales Managers,low,0.0,LOW,None - No skill gaps identified
389,Research & Development,Laboratory Technician,0.479,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,0.0,LOW,None - No skill gaps identified
390,Research & Development,Healthcare Representative,0.8978,HIGH,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,3.0,LOW,"Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Business & Technical Writing: Structuring Executive Summaries & Proposals; Advanced Excel: Dynamic Arrays, Power Query & Business Financial Modeling"
391,Research & Development,Research Scientist,0.0163,LOW,,,,Computer and Information Research Scientists,medium,1.0,LOW,NoSQL Database Architecture with AWS DynamoDB: Modeling & Scalability
392,Research & Development,Laboratory Technician,0.7346,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,8.0,HIGH,"Technical & Regulatory Documentation Analysis Workshop; Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Scientific Methodology, Evidence-Based Rigor & Laboratory Standards Training"
393,Research & Development,Healthcare Representative,0.1733,LOW,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,4.0,MEDIUM,Technical & Regulatory Documentation Analysis Workshop; Business & Technical Writing: Structuring Executive Summaries & Proposals; Inbound Sales & CRM Pipeline Optimization with HubSpot Sales Hub
394,Research & Development,Laboratory Technician,0.8505,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,4.0,MEDIUM,"Scientific Methodology, Evidence-Based Rigor & Laboratory Standards Training; MEDITECH EHR Clinical Data Management & Laboratory Information Systems Track; Advanced Excel: Dynamic Arrays, Power Query & Business Financial Modeling"
395,Research & Development,Research Scientist,0.0413,LOW,,,,Computer and Information Research Scientists,medium,2.0,LOW,Technical & Regulatory Documentation Analysis Workshop; AWS Infrastructure as Code: CloudFormation & CDK Automated Deployments
396,Research & Development,Research Director,0.6435,HIGH,,,,Natural Sciences Managers,low,2.0,LOW,Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Operational Process Auditing & KPI Performance Monitoring Protocols
397,Research & Development,Research Scientist,0.6135,HIGH,,,,Computer and Information Research Scientists,medium,1.0,LOW,Technical & Regulatory Documentation Analysis Workshop
399,Sales,Sales Representative,0.5229,HIGH,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",medium,4.0,MEDIUM,"Continuous Professional Learning & Rapid Skill Acquisition Frameworks; Inbound Sales & CRM Pipeline Optimization with HubSpot Sales Hub; Advanced Excel: Dynamic Arrays, Power Query & Business Financial Modeling"
401,Sales,Sales Executive,0.8689,HIGH,,,,Sales Managers,low,3.0,LOW,"Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Operational Process Auditing & KPI Performance Monitoring Protocols; Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows"
403,Research & Development,Research Scientist,0.5004,HIGH,,,,Computer and Information Research Scientists,medium,3.0,LOW,Strategic Problem Solving & Root Cause Decision Analysis Seminar; Cloud Data Warehousing & High-Performance SQL Analytics with Amazon Redshift; AWS Infrastructure as Code: CloudFormation & CDK Automated Deployments
404,Sales,Sales Executive,0.4563,HIGH,,,,Sales Managers,low,0.0,LOW,None - No skill gaps identified
405,Research & Development,Laboratory Technician,0.8103,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,8.0,HIGH,Technical & Regulatory Documentation Analysis Workshop; Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop)
406,Sales,Sales Executive,0.2002,LOW,,,,Sales Managers,low,0.0,LOW,None - No skill gaps identified
407,Research & Development,Laboratory Technician,0.3806,LOW,,,,Medical and Clinical Laboratory Technicians,medium,5.0,MEDIUM,"Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Scientific Methodology, Evidence-Based Rigor & Laboratory Standards Training; MEDITECH EHR Clinical Data Management & Laboratory Information Systems Track"
408,Research & Development,Manufacturing Director,0.0489,LOW,,,,Industrial Production Managers,low,2.0,LOW,"Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows; AutoCAD Essentials: Mechanical/Architectural Drafting & Dimensioning Standards"
410,Sales,Manager,0.0901,LOW,,,,"Managers, All Other",very_low,,N/A - Manager,N/A - Manager (use Department-level analysis)
411,Sales,Sales Representative,0.8981,HIGH,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",medium,5.0,MEDIUM,Technical & Regulatory Documentation Analysis Workshop; Business & Technical Writing: Structuring Executive Summaries & Proposals; Continuous Professional Learning & Rapid Skill Acquisition Frameworks
412,Research & Development,Healthcare Representative,0.11,LOW,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,6.0,MEDIUM,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Technical & Regulatory Documentation Analysis Workshop; Continuous Professional Learning & Rapid Skill Acquisition Frameworks
416,Sales,Sales Executive,0.5038,HIGH,,,,Sales Managers,low,2.0,LOW,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Java & Multi-Language Software Development with Eclipse IDE & Git Plugins
417,Research & Development,Healthcare Representative,0.0042,LOW,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,2.0,LOW,"Business & Technical Writing: Structuring Executive Summaries & Proposals; macOS for Enterprise: Advanced Terminal, Security & Productivity Tooling"
419,Research & Development,Laboratory Technician,0.2053,LOW,,,,Medical and Clinical Laboratory Technicians,medium,0.0,LOW,None - No skill gaps identified
420,Sales,Sales Executive,0.1041,LOW,,,,Sales Managers,low,0.0,LOW,None - No skill gaps identified
421,Research & Development,Research Director,0.0803,LOW,,,,Natural Sciences Managers,low,2.0,LOW,"Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows; Commercial Image Retouching & Asset Production with Adobe Photoshop"
422,Research & Development,Healthcare Representative,0.0775,LOW,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,4.0,MEDIUM,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Technical & Regulatory Documentation Analysis Workshop; Business & Technical Writing: Structuring Executive Summaries & Proposals
423,Research & Development,Research Scientist,0.266,LOW,,,,Computer and Information Research Scientists,medium,1.0,LOW,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop)
424,Human Resources,Human Resources,0.8671,HIGH,,,,Human Resources Specialists,medium,6.0,MEDIUM,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Business & Technical Writing: Structuring Executive Summaries & Proposals
425,Research & Development,Laboratory Technician,0.5025,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,0.0,LOW,None - No skill gaps identified
426,Research & Development,Research Scientist,0.3814,LOW,,,,Computer and Information Research Scientists,medium,5.0,MEDIUM,Technical & Regulatory Documentation Analysis Workshop; NoSQL Database Architecture with AWS DynamoDB: Modeling & Scalability; AWS Compute Architecture: Scalable EC2 Fleet Management & Auto-Scaling
428,Research & Development,Manager,0.3147,LOW,,,,"Managers, All Other",very_low,,N/A - Manager,N/A - Manager (use Department-level analysis)
429,Research & Development,Manager,0.5857,HIGH,,,,"Managers, All Other",very_low,,N/A - Manager,N/A - Manager (use Department-level analysis)
430,Research & Development,Laboratory Technician,0.2007,LOW,,,,Medical and Clinical Laboratory Technicians,medium,0.0,LOW,None - No skill gaps identified
431,Research & Development,Healthcare Representative,0.3921,LOW,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,2.0,LOW,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Inbound Sales & CRM Pipeline Optimization with HubSpot Sales Hub
433,Research & Development,Research Scientist,0.3624,LOW,,,,Computer and Information Research Scientists,medium,1.0,LOW,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop)
434,Research & Development,Research Scientist,0.6704,HIGH,,,,Computer and Information Research Scientists,medium,6.0,MEDIUM,Technical & Regulatory Documentation Analysis Workshop; Empathetic Leadership & Active Listening for Cross-Functional Collaboration; NoSQL Database Architecture with AWS DynamoDB: Modeling & Scalability
436,Sales,Sales Executive,0.8361,HIGH,,,,Sales Managers,low,1.0,LOW,Java & Multi-Language Software Development with Eclipse IDE & Git Plugins
437,Sales,Sales Executive,0.6194,HIGH,,,,Sales Managers,low,3.0,LOW,"Strategic Problem Solving & Root Cause Decision Analysis Seminar; Operational Process Auditing & KPI Performance Monitoring Protocols; B2B Social Media Marketing, Meta Business Suite & Targeted Outreach Campaigns"
438,Sales,Sales Executive,0.0277,LOW,,,,Sales Managers,low,4.0,MEDIUM,Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Operational Process Auditing & KPI Performance Monitoring Protocols; Bentley MicroStation CAD: 2D/3D Infrastructure Drafting & Asset Modeling
439,Research & Development,Research Scientist,0.2053,LOW,,,,Computer and Information Research Scientists,medium,5.0,MEDIUM,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Continuous Professional Learning & Rapid Skill Acquisition Frameworks; NoSQL Database Architecture with AWS DynamoDB: Modeling & Scalability
440,Research & Development,Research Scientist,0.7947,HIGH,,,,Computer and Information Research Scientists,medium,5.0,MEDIUM,Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); AWS Compute Architecture: Scalable EC2 Fleet Management & Auto-Scaling
441,Research & Development,Research Scientist,0.0162,LOW,,,,Computer and Information Research Scientists,medium,1.0,LOW,NoSQL Database Architecture with AWS DynamoDB: Modeling & Scalability
442,Research & Development,Manufacturing Director,0.2657,LOW,,,,Industrial Production Managers,low,0.0,LOW,None - No skill gaps identified
444,Research & Development,Manager,0.6591,HIGH,,,,"Managers, All Other",very_low,,N/A - Manager,N/A - Manager (use Department-level analysis)
445,Sales,Sales Executive,0.5412,HIGH,,,,Sales Managers,low,7.0,HIGH,Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Strategic Problem Solving & Root Cause Decision Analysis Seminar
446,Sales,Sales Executive,0.7305,HIGH,,,,Sales Managers,low,0.0,LOW,None - No skill gaps identified
447,Research & Development,Research Director,0.02,LOW,,,,Natural Sciences Managers,low,5.0,MEDIUM,Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Commercial Image Retouching & Asset Production with Adobe Photoshop; Spatial Data Analytics & Geospatial Mapping with ESRI ArcGIS Pro
448,Research & Development,Laboratory Technician,0.3142,LOW,,,,Medical and Clinical Laboratory Technicians,medium,1.0,LOW,"Advanced Excel: Dynamic Arrays, Power Query & Business Financial Modeling"
449,Sales,Sales Executive,0.4497,HIGH,,,,Sales Managers,low,3.0,LOW,"Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Operational Process Auditing & KPI Performance Monitoring Protocols; Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows"
450,Research & Development,Research Scientist,0.1163,LOW,,,,Computer and Information Research Scientists,medium,2.0,LOW,"NoSQL Database Architecture with AWS DynamoDB: Modeling & Scalability; AWS Solutions Architect: Core Cloud Services, IAM & Architecture Design"
451,Research & Development,Healthcare Representative,0.4258,HIGH,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,5.0,MEDIUM,Technical & Regulatory Documentation Analysis Workshop; Business & Technical Writing: Structuring Executive Summaries & Proposals; Continuous Professional Learning & Rapid Skill Acquisition Frameworks
452,Research & Development,Research Scientist,0.1096,LOW,,,,Computer and Information Research Scientists,medium,0.0,LOW,None - No skill gaps identified
453,Sales,Sales Executive,0.5628,HIGH,,,,Sales Managers,low,4.0,MEDIUM,Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Operational Process Auditing & KPI Performance Monitoring Protocols
454,Research & Development,Laboratory Technician,0.8244,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,2.0,LOW,Empathetic Leadership & Active Listening for Cross-Functional Collaboration; MEDITECH EHR Clinical Data Management & Laboratory Information Systems Track
455,Research & Development,Laboratory Technician,0.425,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,5.0,MEDIUM,Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Strategic Problem Solving & Root Cause Decision Analysis Seminar; MEDITECH EHR Clinical Data Management & Laboratory Information Systems Track
456,Sales,Sales Executive,0.0692,LOW,,,,Sales Managers,low,0.0,LOW,None - No skill gaps identified
458,Sales,Sales Executive,0.1631,LOW,,,,Sales Managers,low,1.0,LOW,Java & Multi-Language Software Development with Eclipse IDE & Git Plugins
460,Research & Development,Manufacturing Director,0.0465,LOW,,,,Industrial Production Managers,low,5.0,MEDIUM,Strategic Problem Solving & Root Cause Decision Analysis Seminar; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Operational Process Auditing & KPI Performance Monitoring Protocols
461,Research & Development,Research Director,0.0518,LOW,,,,Natural Sciences Managers,low,0.0,LOW,None - No skill gaps identified
462,Research & Development,Manufacturing Director,0.3282,LOW,,,,Industrial Production Managers,low,0.0,LOW,None - No skill gaps identified
463,Sales,Sales Executive,0.5303,HIGH,,,,Sales Managers,low,2.0,LOW,Adobe Creative Cloud Bootcamp: Multi-App Visual Design & Asset Management; Java & Multi-Language Software Development with Eclipse IDE & Git Plugins
464,Research & Development,Manufacturing Director,0.0316,LOW,,,,Industrial Production Managers,low,0.0,LOW,None - No skill gaps identified
465,Research & Development,Research Scientist,0.1102,LOW,,,,Computer and Information Research Scientists,medium,2.0,LOW,"AWS Infrastructure as Code: CloudFormation & CDK Automated Deployments; AWS Solutions Architect: Core Cloud Services, IAM & Architecture Design"
466,Research & Development,Manufacturing Director,0.6809,HIGH,,,,Industrial Production Managers,low,4.0,MEDIUM,"Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Operational Process Auditing & KPI Performance Monitoring Protocols; Motion Graphics, Video Storytelling & Product Animation with After Effects"
467,Sales,Sales Representative,0.8349,HIGH,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",medium,8.0,HIGH,Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Business & Technical Writing: Structuring Executive Summaries & Proposals
468,Research & Development,Research Director,0.0987,LOW,,,,Natural Sciences Managers,low,4.0,MEDIUM,Technical & Regulatory Documentation Analysis Workshop; Strategic Problem Solving & Root Cause Decision Analysis Seminar; Advanced Statistical Inference & Predictive Modeling using IBM SPSS
469,Sales,Sales Executive,0.1191,LOW,,,,Sales Managers,low,1.0,LOW,"Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows"
470,Human Resources,Human Resources,0.5019,HIGH,,,,Human Resources Specialists,medium,1.0,LOW,"Vector Graphics, Infographics & Brand Asset Design in Adobe Illustrator"
471,Research & Development,Laboratory Technician,0.0945,LOW,,,,Medical and Clinical Laboratory Technicians,medium,0.0,LOW,None - No skill gaps identified
473,Sales,Manager,0.2623,LOW,,,,"Managers, All Other",very_low,,N/A - Manager,N/A - Manager (use Department-level analysis)
474,Research & Development,Research Scientist,0.3657,LOW,,,,Computer and Information Research Scientists,medium,1.0,LOW,"AWS Solutions Architect: Core Cloud Services, IAM & Architecture Design"
475,Sales,Sales Executive,0.7718,HIGH,,,,Sales Managers,low,5.0,MEDIUM,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Operational Process Auditing & KPI Performance Monitoring Protocols; Bentley MicroStation CAD: 2D/3D Infrastructure Drafting & Asset Modeling
476,Sales,Sales Executive,0.1656,LOW,,,,Sales Managers,low,0.0,LOW,None - No skill gaps identified
477,Research & Development,Healthcare Representative,0.0665,LOW,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,4.0,MEDIUM,Technical & Regulatory Documentation Analysis Workshop; Business & Technical Writing: Structuring Executive Summaries & Proposals; Advanced Statistical Inference & Predictive Modeling using IBM SPSS
478,Sales,Sales Representative,0.9899,HIGH,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",medium,4.0,MEDIUM,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Continuous Professional Learning & Rapid Skill Acquisition Frameworks; Inbound Sales & CRM Pipeline Optimization with HubSpot Sales Hub
479,Sales,Sales Executive,0.0834,LOW,,,,Sales Managers,low,1.0,LOW,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop)
481,Sales,Sales Executive,0.4053,HIGH,,,,Sales Managers,low,0.0,LOW,None - No skill gaps identified
482,Research & Development,Healthcare Representative,0.0265,LOW,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,6.0,MEDIUM,Technical & Regulatory Documentation Analysis Workshop; Business & Technical Writing: Structuring Executive Summaries & Proposals; Continuous Professional Learning & Rapid Skill Acquisition Frameworks
483,Research & Development,Laboratory Technician,0.1786,LOW,,,,Medical and Clinical Laboratory Technicians,medium,2.0,LOW,"Scientific Methodology, Evidence-Based Rigor & Laboratory Standards Training; MEDITECH EHR Clinical Data Management & Laboratory Information Systems Track"
484,Sales,Sales Representative,0.5769,HIGH,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",medium,3.0,LOW,"Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Technical & Regulatory Documentation Analysis Workshop; macOS for Enterprise: Advanced Terminal, Security & Productivity Tooling"
485,Sales,Sales Representative,0.9294,HIGH,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",medium,5.0,MEDIUM,Technical & Regulatory Documentation Analysis Workshop; Business & Technical Writing: Structuring Executive Summaries & Proposals; Inbound Sales & CRM Pipeline Optimization with HubSpot Sales Hub
486,Research & Development,Laboratory Technician,0.2894,LOW,,,,Medical and Clinical Laboratory Technicians,medium,2.0,LOW,"Technical & Regulatory Documentation Analysis Workshop; Scientific Methodology, Evidence-Based Rigor & Laboratory Standards Training"
487,Research & Development,Manufacturing Director,0.0308,LOW,,,,Industrial Production Managers,low,6.0,MEDIUM,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Technical & Regulatory Documentation Analysis Workshop; Empathetic Leadership & Active Listening for Cross-Functional Collaboration
488,Sales,Sales Executive,0.6662,HIGH,,,,Sales Managers,low,0.0,LOW,None - No skill gaps identified
491,Research & Development,Healthcare Representative,0.1007,LOW,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,6.0,MEDIUM,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Technical & Regulatory Documentation Analysis Workshop; Continuous Professional Learning & Rapid Skill Acquisition Frameworks
492,Sales,Sales Executive,0.8106,HIGH,,,,Sales Managers,low,2.0,LOW,Technical & Regulatory Documentation Analysis Workshop; Bentley MicroStation CAD: 2D/3D Infrastructure Drafting & Asset Modeling
493,Research & Development,Research Scientist,0.6327,HIGH,,,,Computer and Information Research Scientists,medium,2.0,LOW,Continuous Professional Learning & Rapid Skill Acquisition Frameworks; Cloud Data Warehousing & High-Performance SQL Analytics with Amazon Redshift
494,Sales,Sales Representative,0.7833,HIGH,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",medium,9.0,HIGH,Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Technical & Regulatory Documentation Analysis Workshop
495,Research & Development,Research Scientist,0.3019,LOW,,,,Computer and Information Research Scientists,medium,5.0,MEDIUM,Technical & Regulatory Documentation Analysis Workshop; Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Continuous Professional Learning & Rapid Skill Acquisition Frameworks
496,Research & Development,Healthcare Representative,0.4356,HIGH,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,5.0,MEDIUM,"Business & Technical Writing: Structuring Executive Summaries & Proposals; Continuous Professional Learning & Rapid Skill Acquisition Frameworks; macOS for Enterprise: Advanced Terminal, Security & Productivity Tooling"
497,Research & Development,Laboratory Technician,0.1411,LOW,,,,Medical and Clinical Laboratory Technicians,medium,5.0,MEDIUM,"Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Strategic Problem Solving & Root Cause Decision Analysis Seminar; Scientific Methodology, Evidence-Based Rigor & Laboratory Standards Training"
498,Sales,Sales Executive,0.2364,LOW,,,,Sales Managers,low,2.0,LOW,"Adobe Acrobat Pro: Digital Signatures, Forms & Secure Document Workflows; Java & Multi-Language Software Development with Eclipse IDE & Git Plugins"
499,Research & Development,Healthcare Representative,0.1195,LOW,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,5.0,MEDIUM,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Business & Technical Writing: Structuring Executive Summaries & Proposals; Continuous Professional Learning & Rapid Skill Acquisition Frameworks
