# SYNTHETIC DATA — employee current-skill possession was not present in any source file and has been simulated using a tenure/training-based heuristic for MVP demonstration purposes only. This must NOT be presented to stakeholders as real observed skill data. Real deployment requires an actual skills inventory (HRIS export, LMS completion records, or self-assessment survey).
EmployeeNumber,JobRole,missing_skills,gap_count,total_required,gap_percentage,severity
434,Research Scientist,Reading Comprehension; Active Listening; Amazon DynamoDB; Amazon Elastic Compute Cloud EC2; Amazon Redshift; Amazon Web Services AWS CloudFormation,6,10,0.6,MEDIUM
436,Sales Executive,Eclipse IDE,1,10,0.1,LOW
437,Sales Executive,Critical Thinking; Monitoring; Facebook,3,10,0.3,LOW
438,Sales Executive,Active Listening; Monitoring; Bentley MicroStation; Facebook,4,10,0.4,MEDIUM
439,Research Scientist,Speaking; Active Learning; Amazon DynamoDB; Amazon Elastic Compute Cloud EC2; Amazon Web Services AWS CloudFormation,5,10,0.5,MEDIUM
440,Research Scientist,Active Listening; Speaking; Amazon Elastic Compute Cloud EC2; Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software,5,10,0.5,MEDIUM
441,Research Scientist,Amazon DynamoDB,1,10,0.1,LOW
442,Manufacturing Director,None,0,10,0.0,LOW
445,Sales Executive,Active Listening; Speaking; Critical Thinking; Monitoring; Adobe Acrobat; Adobe Creative Cloud software; Eclipse IDE,7,10,0.7,HIGH
446,Sales Executive,None,0,10,0.0,LOW
447,Research Director,Active Listening; Adobe Photoshop; ESRI ArcGIS software; IBM SPSS Statistics; Microsoft Access,5,10,0.5,MEDIUM
448,Laboratory Technician,Microsoft Excel,1,10,0.1,LOW
449,Sales Executive,Speaking; Monitoring; Adobe Acrobat,3,10,0.3,LOW
450,Research Scientist,Amazon DynamoDB; Amazon Web Services AWS software,2,10,0.2,LOW
451,Healthcare Representative,Reading Comprehension; Writing; Active Learning; IBM SPSS Statistics; Microsoft Office software,5,10,0.5,MEDIUM
452,Research Scientist,None,0,10,0.0,LOW
453,Sales Executive,Active Listening; Speaking; Monitoring; Adobe Acrobat,4,10,0.4,MEDIUM
454,Laboratory Technician,Active Listening; MEDITECH software,2,10,0.2,LOW
455,Laboratory Technician,Active Listening; Critical Thinking; MEDITECH software; Microsoft Office software; Microsoft Outlook,5,10,0.5,MEDIUM
456,Sales Executive,None,0,10,0.0,LOW
458,Sales Executive,Eclipse IDE,1,10,0.1,LOW
460,Manufacturing Director,Critical Thinking; Speaking; Monitoring; Adobe After Effects; Adobe InDesign,5,10,0.5,MEDIUM
461,Research Director,None,0,10,0.0,LOW
462,Manufacturing Director,None,0,10,0.0,LOW
463,Sales Executive,Adobe Creative Cloud software; Eclipse IDE,2,10,0.2,LOW
464,Manufacturing Director,None,0,10,0.0,LOW
465,Research Scientist,Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software,2,10,0.2,LOW
466,Manufacturing Director,Speaking; Monitoring; Adobe After Effects; Adobe InDesign,4,10,0.4,MEDIUM
467,Sales Representative,Active Listening; Speaking; Writing; Active Learning; Apple macOS; HubSpot software; IBM SPSS Statistics; Microsoft Office software,8,10,0.8,HIGH
468,Research Director,Reading Comprehension; Critical Thinking; IBM SPSS Statistics; Microsoft Access,4,10,0.4,MEDIUM
469,Sales Executive,Adobe Acrobat,1,10,0.1,LOW
470,Human Resources,Adobe Illustrator,1,10,0.1,LOW
471,Laboratory Technician,None,0,10,0.0,LOW
474,Research Scientist,Amazon Web Services AWS software,1,10,0.1,LOW
475,Sales Executive,Speaking; Monitoring; Bentley MicroStation; Eclipse IDE; Facebook,5,10,0.5,MEDIUM
476,Sales Executive,None,0,10,0.0,LOW
477,Healthcare Representative,Reading Comprehension; Writing; IBM SPSS Statistics; Microsoft Excel,4,10,0.4,MEDIUM
478,Sales Representative,Speaking; Active Learning; HubSpot software; Microsoft Office software,4,10,0.4,MEDIUM
479,Sales Executive,Speaking,1,10,0.1,LOW
481,Sales Executive,None,0,10,0.0,LOW
482,Healthcare Representative,Reading Comprehension; Writing; Active Learning; Apple macOS; HubSpot software; Microsoft Office software,6,10,0.6,MEDIUM
483,Laboratory Technician,Science; MEDITECH software,2,10,0.2,LOW
484,Sales Representative,Active Listening; Reading Comprehension; Apple macOS,3,10,0.3,LOW
485,Sales Representative,Reading Comprehension; Writing; HubSpot software; Microsoft Excel; Microsoft Office software,5,10,0.5,MEDIUM
486,Laboratory Technician,Reading Comprehension; Science,2,10,0.2,LOW
487,Manufacturing Director,Speaking; Reading Comprehension; Active Listening; Adobe Acrobat; Adobe After Effects; Autodesk AutoCAD,6,10,0.6,MEDIUM
488,Sales Executive,None,0,10,0.0,LOW
491,Healthcare Representative,Speaking; Reading Comprehension; Active Learning; Apple macOS; HubSpot software; IBM SPSS Statistics,6,10,0.6,MEDIUM
492,Sales Executive,Reading Comprehension; Bentley MicroStation,2,10,0.2,LOW
493,Research Scientist,Active Learning; Amazon Redshift,2,10,0.2,LOW
494,Sales Representative,Active Listening; Speaking; Reading Comprehension; Active Learning; Apple macOS; HubSpot software; IBM SPSS Statistics; Microsoft Excel; Microsoft Office software,9,10,0.9,HIGH
495,Research Scientist,Reading Comprehension; Active Listening; Active Learning; Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software,5,10,0.5,MEDIUM
496,Healthcare Representative,Writing; Active Learning; Apple macOS; HubSpot software; IBM SPSS Statistics,5,10,0.5,MEDIUM
497,Laboratory Technician,Active Listening; Critical Thinking; Science; Microsoft Excel; Microsoft Office software,5,10,0.5,MEDIUM
498,Sales Executive,Adobe Acrobat; Eclipse IDE,2,10,0.2,LOW
499,Healthcare Representative,Speaking; Writing; Active Learning; Apple macOS; HubSpot software,5,10,0.5,MEDIUM
500,Sales Executive,Critical Thinking,1,10,0.1,LOW
501,Research Scientist,Reading Comprehension; Active Listening; Speaking; Active Learning; Amazon Elastic Compute Cloud EC2; Amazon Redshift; Amazon Web Services AWS software,7,10,0.7,HIGH
502,Sales Executive,Speaking; Reading Comprehension; Monitoring; Adobe Creative Cloud software; Eclipse IDE,5,10,0.5,MEDIUM
507,Sales Executive,Reading Comprehension; Critical Thinking; Monitoring; Adobe Acrobat,4,10,0.4,MEDIUM
508,Sales Representative,HubSpot software; IBM SPSS Statistics; Microsoft Excel,3,10,0.3,LOW
510,Research Scientist,Reading Comprehension,1,10,0.1,LOW
511,Research Scientist,Reading Comprehension; Active Learning; Amazon Redshift; Amazon Web Services AWS software,4,10,0.4,MEDIUM
513,Sales Executive,None,0,10,0.0,LOW
514,Research Scientist,Reading Comprehension; Amazon DynamoDB; Amazon Elastic Compute Cloud EC2; Amazon Redshift; Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software,6,10,0.6,MEDIUM
515,Laboratory Technician,Speaking,1,10,0.1,LOW
516,Sales Executive,Speaking; Critical Thinking,2,10,0.2,LOW
517,Laboratory Technician,Reading Comprehension,1,10,0.1,LOW
518,Manufacturing Director,Speaking; Adobe After Effects; Adobe Photoshop; Autodesk AutoCAD,4,10,0.4,MEDIUM
520,Research Director,None,0,10,0.0,LOW
521,Laboratory Technician,Reading Comprehension; Speaking; Microsoft Excel; Microsoft Office software; Microsoft Outlook,5,10,0.5,MEDIUM
522,Research Director,Science; Adobe Photoshop,2,10,0.2,LOW
523,Sales Executive,Speaking; Monitoring; Facebook,3,10,0.3,LOW
524,Manufacturing Director,None,0,10,0.0,LOW
525,Laboratory Technician,Reading Comprehension; Active Listening; Science; MEDITECH software,4,10,0.4,MEDIUM
526,Healthcare Representative,Reading Comprehension; Microsoft Excel,2,10,0.2,LOW
527,Sales Executive,Active Listening; Reading Comprehension; Adobe Creative Cloud software,3,10,0.3,LOW
529,Research Scientist,Amazon Elastic Compute Cloud EC2,1,10,0.1,LOW
530,Laboratory Technician,Active Listening; Speaking; Science; Google Docs; MEDITECH software; Microsoft Outlook,6,10,0.6,MEDIUM
532,Sales Executive,Speaking; Reading Comprehension; Monitoring,3,10,0.3,LOW
533,Sales Executive,Reading Comprehension; Adobe Acrobat,2,10,0.2,LOW
534,Sales Executive,Speaking,1,10,0.1,LOW
536,Laboratory Technician,Reading Comprehension,1,10,0.1,LOW
538,Laboratory Technician,Reading Comprehension; Active Listening; Speaking; Microsoft Outlook,4,10,0.4,MEDIUM
543,Manufacturing Director,None,0,10,0.0,LOW
544,Research Scientist,Reading Comprehension; Speaking; Active Learning; Amazon DynamoDB; Amazon Elastic Compute Cloud EC2; Amazon Redshift; Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software,8,10,0.8,HIGH
547,Research Scientist,Speaking; Active Learning; Amazon Web Services AWS software,3,10,0.3,LOW
548,Manufacturing Director,Reading Comprehension; Adobe Acrobat,2,10,0.2,LOW
550,Manufacturing Director,Reading Comprehension; Adobe Acrobat,2,10,0.2,LOW
551,Healthcare Representative,IBM SPSS Statistics; Microsoft Excel,2,10,0.2,LOW
554,Sales Representative,Reading Comprehension; Microsoft Excel,2,10,0.2,LOW
555,Sales Representative,Speaking; Reading Comprehension; HubSpot software; Microsoft Excel; Microsoft Office software,5,10,0.5,MEDIUM
556,Laboratory Technician,Reading Comprehension; Google Docs; MEDITECH software; Microsoft Excel; Microsoft Office software,5,10,0.5,MEDIUM
560,Research Scientist,Active Listening; Speaking; Active Learning; Amazon Web Services AWS software,4,10,0.4,MEDIUM
562,Laboratory Technician,Reading Comprehension,1,10,0.1,LOW
564,Research Director,None,0,10,0.0,LOW
565,Research Scientist,Critical Thinking; Reading Comprehension; Active Listening; Active Learning; Amazon DynamoDB; Amazon Elastic Compute Cloud EC2; Amazon Redshift; Amazon Web Services AWS CloudFormation,8,10,0.8,HIGH
566,Human Resources,Speaking; Reading Comprehension; Active Listening; Critical Thinking; Adobe Acrobat; Adobe Illustrator; Adobe InDesign; Adobe Photoshop,8,10,0.8,HIGH
567,Sales Executive,Reading Comprehension,1,10,0.1,LOW
571,Laboratory Technician,Speaking; Science,2,10,0.2,LOW
573,Sales Executive,Monitoring,1,10,0.1,LOW
574,Manufacturing Director,Critical Thinking,1,10,0.1,LOW
575,Research Director,Science; Reading Comprehension; Adobe Photoshop; ESRI ArcGIS software,4,10,0.4,MEDIUM
577,Laboratory Technician,Active Listening; Critical Thinking; Google Docs; MEDITECH software,4,10,0.4,MEDIUM
578,Laboratory Technician,Reading Comprehension; Speaking; Google Docs; Microsoft Office software,4,10,0.4,MEDIUM
579,Research Scientist,Critical Thinking; Amazon DynamoDB,2,10,0.2,LOW
580,Sales Executive,Active Listening; Speaking; Monitoring; Adobe Acrobat; Facebook,5,10,0.5,MEDIUM
581,Manufacturing Director,None,0,10,0.0,LOW
584,Laboratory Technician,Active Listening; Critical Thinking; Microsoft Office software,3,10,0.3,LOW
585,Sales Representative,Reading Comprehension; Active Learning; HubSpot software; IBM SPSS Statistics,4,10,0.4,MEDIUM
586,Healthcare Representative,Writing; Apple macOS,2,10,0.2,LOW
587,Healthcare Representative,Active Listening; Writing; Apple macOS; HubSpot software; IBM SPSS Statistics; Microsoft Excel; Microsoft Office software,7,10,0.7,HIGH
590,Human Resources,Speaking; Writing; Adobe Illustrator; Adobe InDesign,4,10,0.4,MEDIUM
591,Laboratory Technician,Reading Comprehension; Active Listening; Critical Thinking; Science; MEDITECH software; Microsoft Office software; Microsoft Outlook,7,10,0.7,HIGH
592,Sales Executive,Bentley MicroStation,1,10,0.1,LOW
593,Laboratory Technician,Active Listening; Critical Thinking; Speaking; Science; Google Docs; Microsoft Office software,6,10,0.6,MEDIUM
595,Sales Executive,None,0,10,0.0,LOW
599,Sales Executive,None,0,10,0.0,LOW
600,Sales Executive,Adobe Creative Cloud software,1,10,0.1,LOW
601,Manufacturing Director,None,0,10,0.0,LOW
602,Laboratory Technician,Speaking; Microsoft Excel,2,10,0.2,LOW
604,Sales Executive,Adobe Creative Cloud software,1,10,0.1,LOW
605,Manufacturing Director,None,0,10,0.0,LOW
606,Sales Executive,Bentley MicroStation; Eclipse IDE,2,10,0.2,LOW
608,Human Resources,None,0,10,0.0,LOW
611,Manufacturing Director,Speaking; Active Listening; Adobe Acrobat; Adobe After Effects; Adobe InDesign,5,10,0.5,MEDIUM
612,Research Director,Microsoft Access,1,10,0.1,LOW
614,Sales Representative,Active Listening; Speaking; Reading Comprehension; Writing; Active Learning; Microsoft Office software,6,10,0.6,MEDIUM
615,Sales Executive,Active Listening; Critical Thinking; Adobe Acrobat; Adobe Creative Cloud software; Bentley MicroStation,5,10,0.5,MEDIUM
616,Healthcare Representative,None,0,10,0.0,LOW
618,Sales Executive,Speaking; Reading Comprehension; Critical Thinking; Monitoring; Adobe Acrobat; Bentley MicroStation,6,10,0.6,MEDIUM
620,Sales Executive,Active Listening; Critical Thinking; Bentley MicroStation; Eclipse IDE,4,10,0.4,MEDIUM
621,Sales Executive,Facebook,1,10,0.1,LOW
622,Laboratory Technician,Speaking; Google Docs; MEDITECH software,3,10,0.3,LOW
623,Manufacturing Director,Speaking; Adobe Photoshop; Autodesk AutoCAD,3,10,0.3,LOW
624,Healthcare Representative,Active Listening; Speaking; Active Learning; Apple macOS,4,10,0.4,MEDIUM
626,Sales Executive,None,0,10,0.0,LOW
630,Research Scientist,None,0,10,0.0,LOW
631,Sales Executive,Speaking; Reading Comprehension; Monitoring; Bentley MicroStation; Eclipse IDE; Facebook,6,10,0.6,MEDIUM
632,Sales Representative,Speaking; Writing; Active Learning; HubSpot software,4,10,0.4,MEDIUM
634,Healthcare Representative,Active Listening; Speaking; Reading Comprehension; Active Learning; Apple macOS; IBM SPSS Statistics; Microsoft Office software,7,10,0.7,HIGH
635,Manufacturing Director,Adobe InDesign,1,10,0.1,LOW
638,Research Director,None,0,10,0.0,LOW
639,Research Scientist,Critical Thinking; Speaking,2,10,0.2,LOW
641,Sales Executive,None,0,10,0.0,LOW
643,Laboratory Technician,Science; Google Docs; Microsoft Excel; Microsoft Outlook,4,10,0.4,MEDIUM
645,Sales Representative,Active Learning; HubSpot software,2,10,0.2,LOW
647,Laboratory Technician,Science; Google Docs,2,10,0.2,LOW
648,Sales Representative,Speaking; Active Learning; Apple macOS; HubSpot software; Microsoft Office software,5,10,0.5,MEDIUM
649,Research Scientist,None,0,10,0.0,LOW
650,Sales Executive,Speaking; Reading Comprehension; Critical Thinking; Facebook,4,10,0.4,MEDIUM
652,Laboratory Technician,Reading Comprehension; Speaking; Microsoft Excel; Microsoft Office software,4,10,0.4,MEDIUM
653,Sales Executive,Active Listening; Adobe Acrobat,2,10,0.2,LOW
655,Research Scientist,Active Listening; Speaking; Active Learning,3,10,0.3,LOW
656,Sales Executive,Reading Comprehension; Monitoring; Eclipse IDE; Facebook,4,10,0.4,MEDIUM
657,Research Scientist,Critical Thinking; Reading Comprehension; Speaking; Active Learning; Amazon DynamoDB; Amazon Elastic Compute Cloud EC2; Amazon Redshift; Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software,9,10,0.9,HIGH
659,Healthcare Representative,None,0,10,0.0,LOW
661,Research Director,Reading Comprehension; Active Listening; Critical Thinking; Monitoring; Adobe Acrobat,5,10,0.5,MEDIUM
662,Research Scientist,Critical Thinking; Reading Comprehension; Active Learning; Amazon Elastic Compute Cloud EC2; Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software,6,10,0.6,MEDIUM
663,Laboratory Technician,Microsoft Excel,1,10,0.1,LOW
665,Human Resources,Speaking; Reading Comprehension; Active Listening; Writing; Critical Thinking; Adobe Creative Cloud software; Adobe Illustrator; Adobe InDesign,8,10,0.8,HIGH
666,Sales Representative,None,0,10,0.0,LOW
667,Sales Representative,Apple macOS; Microsoft Excel; Microsoft Office software,3,10,0.3,LOW
669,Sales Representative,Active Listening; Writing; Apple macOS; HubSpot software; IBM SPSS Statistics; Microsoft Excel; Microsoft Office software,7,10,0.7,HIGH
675,Research Scientist,Critical Thinking; Active Listening; Amazon DynamoDB; Amazon Web Services AWS software,4,10,0.4,MEDIUM
677,Sales Executive,Critical Thinking; Monitoring; Eclipse IDE,3,10,0.3,LOW
679,Research Scientist,Critical Thinking; Active Listening; Speaking; Amazon DynamoDB; Amazon Web Services AWS software,5,10,0.5,MEDIUM
680,Research Scientist,Critical Thinking; Active Listening; Amazon DynamoDB; Amazon Elastic Compute Cloud EC2,4,10,0.4,MEDIUM
682,Sales Executive,Eclipse IDE,1,10,0.1,LOW
683,Research Scientist,None,0,10,0.0,LOW
684,Sales Executive,Active Listening; Speaking; Critical Thinking; Monitoring; Adobe Acrobat; Eclipse IDE,6,10,0.6,MEDIUM
686,Laboratory Technician,Critical Thinking; Speaking; Google Docs; Microsoft Excel; Microsoft Office software; Microsoft Outlook,6,10,0.6,MEDIUM
689,Manufacturing Director,Critical Thinking,1,10,0.1,LOW
690,Sales Executive,None,0,10,0.0,LOW
691,Research Scientist,None,0,10,0.0,LOW
692,Healthcare Representative,IBM SPSS Statistics,1,10,0.1,LOW
698,Human Resources,Active Listening; Adobe Photoshop,2,10,0.2,LOW
699,Manufacturing Director,Adobe Acrobat; Autodesk AutoCAD,2,10,0.2,LOW
700,Research Scientist,Active Listening; Speaking; Amazon Elastic Compute Cloud EC2; Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software,5,10,0.5,MEDIUM
701,Research Scientist,Speaking; Amazon Redshift; Amazon Web Services AWS software,3,10,0.3,LOW
702,Research Scientist,None,0,10,0.0,LOW
704,Laboratory Technician,Critical Thinking; Speaking; MEDITECH software; Microsoft Outlook,4,10,0.4,MEDIUM
705,Research Scientist,Critical Thinking; Speaking; Amazon Web Services AWS software,3,10,0.3,LOW
707,Sales Executive,Reading Comprehension; Monitoring; Adobe Acrobat; Bentley MicroStation; Facebook,5,10,0.5,MEDIUM
709,Sales Executive,Speaking; Reading Comprehension; Adobe Acrobat; Adobe Creative Cloud software,4,10,0.4,MEDIUM
710,Research Scientist,None,0,10,0.0,LOW
712,Sales Executive,Reading Comprehension; Adobe Creative Cloud software; Bentley MicroStation,3,10,0.3,LOW
714,Sales Executive,Speaking; Bentley MicroStation,2,10,0.2,LOW
715,Research Scientist,Active Listening; Active Learning; Amazon DynamoDB; Amazon Redshift; Amazon Web Services AWS software,5,10,0.5,MEDIUM
716,Laboratory Technician,None,0,10,0.0,LOW
717,Healthcare Representative,None,0,10,0.0,LOW
720,Sales Executive,Active Listening; Speaking; Reading Comprehension,3,10,0.3,LOW
721,Healthcare Representative,Active Listening; Speaking,2,10,0.2,LOW
722,Sales Executive,Active Listening; Bentley MicroStation; Eclipse IDE,3,10,0.3,LOW
723,Sales Executive,Speaking; Facebook,2,10,0.2,LOW
724,Healthcare Representative,None,0,10,0.0,LOW
725,Manufacturing Director,None,0,10,0.0,LOW
727,Research Director,None,0,10,0.0,LOW
728,Sales Executive,Monitoring; Adobe Creative Cloud software,2,10,0.2,LOW
729,Sales Executive,None,0,10,0.0,LOW
730,Research Director,Science; Reading Comprehension; Critical Thinking; IBM SPSS Statistics; Microsoft Access,5,10,0.5,MEDIUM
732,Sales Executive,Reading Comprehension; Monitoring; Adobe Creative Cloud software; Bentley MicroStation; Eclipse IDE; Facebook,6,10,0.6,MEDIUM
733,Manufacturing Director,None,0,10,0.0,LOW
738,Sales Representative,Writing; Apple macOS; IBM SPSS Statistics; Microsoft Office software,4,10,0.4,MEDIUM
741,Research Scientist,Amazon Elastic Compute Cloud EC2; Amazon Web Services AWS CloudFormation,2,10,0.2,LOW
742,Research Director,Reading Comprehension,1,10,0.1,LOW
743,Manufacturing Director,Critical Thinking; Monitoring; Reading Comprehension; Active Listening; Adobe After Effects; Adobe InDesign; Adobe Photoshop; Autodesk AutoCAD,8,10,0.8,HIGH
744,Laboratory Technician,Reading Comprehension; Google Docs; Microsoft Office software,3,10,0.3,LOW
746,Sales Executive,None,0,10,0.0,LOW
747,Sales Executive,Facebook,1,10,0.1,LOW
749,Sales Representative,Active Listening; Reading Comprehension; Writing; Active Learning; Microsoft Excel,5,10,0.5,MEDIUM
752,Research Scientist,Reading Comprehension; Active Listening; Speaking; Amazon Elastic Compute Cloud EC2; Amazon Redshift; Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software,7,10,0.7,HIGH
754,Sales Executive,Active Listening; Critical Thinking,2,10,0.2,LOW
757,Healthcare Representative,Speaking; Apple macOS,2,10,0.2,LOW
758,Laboratory Technician,Reading Comprehension; Active Listening; Science; Microsoft Office software,4,10,0.4,MEDIUM
760,Human Resources,Critical Thinking,1,10,0.1,LOW
762,Healthcare Representative,None,0,10,0.0,LOW
763,Research Scientist,Active Listening; Amazon Elastic Compute Cloud EC2,2,10,0.2,LOW
764,Healthcare Representative,Microsoft Excel; Microsoft Office software,2,10,0.2,LOW
766,Sales Representative,Active Listening; Speaking; Reading Comprehension; Writing; Apple macOS; Microsoft Excel,6,10,0.6,MEDIUM
769,Laboratory Technician,Active Listening; Science; Google Docs; Microsoft Outlook,4,10,0.4,MEDIUM
771,Healthcare Representative,Active Listening; Speaking; Active Learning; HubSpot software; Microsoft Excel; Microsoft Office software,6,10,0.6,MEDIUM
772,Laboratory Technician,None,0,10,0.0,LOW
773,Research Scientist,Active Listening; Speaking; Active Learning; Amazon Redshift; Amazon Web Services AWS CloudFormation,5,10,0.5,MEDIUM
775,Manufacturing Director,Critical Thinking; Reading Comprehension; Adobe Acrobat; Autodesk AutoCAD,4,10,0.4,MEDIUM
780,Research Scientist,Amazon Web Services AWS software,1,10,0.1,LOW
781,Sales Executive,Critical Thinking; Adobe Acrobat; Eclipse IDE,3,10,0.3,LOW
783,Sales Representative,Writing,1,10,0.1,LOW
784,Research Scientist,Reading Comprehension; Active Listening; Speaking; Active Learning; Amazon Elastic Compute Cloud EC2; Amazon Web Services AWS CloudFormation,6,10,0.6,MEDIUM
785,Sales Executive,Active Listening; Critical Thinking; Bentley MicroStation,3,10,0.3,LOW
786,Sales Executive,Bentley MicroStation,1,10,0.1,LOW
789,Sales Executive,None,0,10,0.0,LOW
791,Research Scientist,Critical Thinking; Speaking; Active Learning; Amazon Elastic Compute Cloud EC2; Amazon Redshift,5,10,0.5,MEDIUM
792,Laboratory Technician,Active Listening; Critical Thinking; Science; Microsoft Excel; Microsoft Outlook,5,10,0.5,MEDIUM
793,Healthcare Representative,Active Learning; Microsoft Excel,2,10,0.2,LOW
796,Sales Executive,Critical Thinking; Eclipse IDE,2,10,0.2,LOW
797,Research Scientist,Critical Thinking; Speaking; Amazon DynamoDB; Amazon Elastic Compute Cloud EC2; Amazon Web Services AWS software,5,10,0.5,MEDIUM
799,Manufacturing Director,Active Listening,1,10,0.1,LOW
800,Sales Executive,Active Listening; Reading Comprehension; Critical Thinking; Eclipse IDE; Facebook,5,10,0.5,MEDIUM
802,Research Scientist,Active Listening; Speaking; Amazon Redshift,3,10,0.3,LOW
803,Manufacturing Director,Reading Comprehension,1,10,0.1,LOW
804,Research Scientist,Active Learning; Amazon DynamoDB; Amazon Web Services AWS CloudFormation,3,10,0.3,LOW
805,Sales Representative,Active Listening; Speaking; Active Learning; Apple macOS; Microsoft Office software,5,10,0.5,MEDIUM
806,Laboratory Technician,Reading Comprehension; Active Listening; Speaking; Science; Microsoft Excel; Microsoft Office software,6,10,0.6,MEDIUM
807,Healthcare Representative,Apple macOS,1,10,0.1,LOW
808,Sales Executive,Critical Thinking; Adobe Acrobat; Adobe Creative Cloud software; Eclipse IDE,4,10,0.4,MEDIUM
811,Laboratory Technician,Active Listening; Science; Google Docs; MEDITECH software; Microsoft Excel; Microsoft Office software; Microsoft Outlook,7,10,0.7,HIGH
812,Laboratory Technician,Active Listening; Critical Thinking; Speaking; Science; Microsoft Outlook,5,10,0.5,MEDIUM
813,Laboratory Technician,Active Listening; Critical Thinking; Google Docs; MEDITECH software,4,10,0.4,MEDIUM
815,Research Director,Science; Active Listening,2,10,0.2,LOW
816,Laboratory Technician,Critical Thinking; Speaking; Science; Google Docs; MEDITECH software; Microsoft Office software; Microsoft Outlook,7,10,0.7,HIGH
817,Research Director,None,0,10,0.0,LOW
819,Sales Executive,Critical Thinking; Bentley MicroStation,2,10,0.2,LOW
823,Manufacturing Director,Adobe Photoshop; Autodesk AutoCAD,2,10,0.2,LOW
824,Research Scientist,None,0,10,0.0,LOW
825,Research Director,None,0,10,0.0,LOW
826,Research Scientist,Critical Thinking; Active Listening; Speaking; Active Learning; Amazon DynamoDB; Amazon Redshift; Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software,8,10,0.8,HIGH
827,Manufacturing Director,Speaking; Adobe InDesign,2,10,0.2,LOW
828,Research Scientist,None,0,10,0.0,LOW
829,Human Resources,Reading Comprehension; Active Listening; Writing; Adobe Acrobat; Adobe Creative Cloud software; Adobe Illustrator,6,10,0.6,MEDIUM
830,Manufacturing Director,None,0,10,0.0,LOW
832,Laboratory Technician,Critical Thinking; Speaking; Microsoft Excel,3,10,0.3,LOW
833,Manufacturing Director,Speaking; Monitoring; Reading Comprehension; Active Listening,4,10,0.4,MEDIUM
834,Research Scientist,Active Listening; Speaking; Active Learning; Amazon DynamoDB; Amazon Redshift; Amazon Web Services AWS software,6,10,0.6,MEDIUM
836,Manufacturing Director,Speaking; Active Listening; Autodesk AutoCAD,3,10,0.3,LOW
837,Healthcare Representative,Active Listening; Reading Comprehension; HubSpot software; IBM SPSS Statistics; Microsoft Excel,5,10,0.5,MEDIUM
838,Research Scientist,Active Listening; Speaking; Amazon Web Services AWS CloudFormation,3,10,0.3,LOW
840,Sales Executive,Critical Thinking,1,10,0.1,LOW
842,Sales Executive,None,0,10,0.0,LOW
843,Research Director,Reading Comprehension; Active Listening; Adobe Acrobat; Adobe Photoshop,4,10,0.4,MEDIUM
844,Research Director,Reading Comprehension,1,10,0.1,LOW
845,Manufacturing Director,None,0,10,0.0,LOW
846,Sales Executive,Speaking,1,10,0.1,LOW
847,Human Resources,Speaking; Reading Comprehension; Adobe Creative Cloud software; Adobe Illustrator; Adobe InDesign; Adobe Photoshop,6,10,0.6,MEDIUM
848,Research Scientist,Active Listening; Amazon Redshift,2,10,0.2,LOW
850,Research Scientist,Critical Thinking; Active Listening; Active Learning; Amazon Web Services AWS CloudFormation,4,10,0.4,MEDIUM
852,Healthcare Representative,Reading Comprehension; Apple macOS; IBM SPSS Statistics,3,10,0.3,LOW
854,Research Scientist,Active Listening; Active Learning; Amazon Web Services AWS CloudFormation,3,10,0.3,LOW
855,Sales Executive,None,0,10,0.0,LOW
856,Research Scientist,Reading Comprehension; Speaking,2,10,0.2,LOW
857,Sales Executive,None,0,10,0.0,LOW
859,Sales Executive,Active Listening,1,10,0.1,LOW
861,Research Scientist,Critical Thinking; Active Listening; Speaking; Amazon Redshift; Amazon Web Services AWS CloudFormation,5,10,0.5,MEDIUM
862,Sales Executive,Speaking; Critical Thinking; Monitoring,3,10,0.3,LOW
864,Sales Executive,Active Listening; Speaking; Reading Comprehension; Monitoring; Adobe Acrobat; Facebook,6,10,0.6,MEDIUM
865,Research Scientist,Reading Comprehension; Speaking; Amazon Web Services AWS CloudFormation,3,10,0.3,LOW
867,Manufacturing Director,Adobe Acrobat; Adobe Photoshop,2,10,0.2,LOW
868,Sales Executive,Speaking; Reading Comprehension; Critical Thinking; Monitoring; Adobe Acrobat; Bentley MicroStation; Eclipse IDE,7,10,0.7,HIGH
869,Human Resources,Adobe Illustrator,1,10,0.1,LOW
872,Manufacturing Director,Speaking; Monitoring; Adobe InDesign; Adobe Photoshop,4,10,0.4,MEDIUM
874,Laboratory Technician,Reading Comprehension; Critical Thinking; Speaking; MEDITECH software,4,10,0.4,MEDIUM
875,Research Scientist,Critical Thinking; Active Listening; Active Learning; Amazon DynamoDB; Amazon Elastic Compute Cloud EC2; Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software,7,10,0.7,HIGH
878,Human Resources,Critical Thinking; Adobe Illustrator,2,10,0.2,LOW
